amount,type,k_symbol,operation,datetime,age,account_id
3144.6,CREDIT,,CREDIT IN CASH,1993-02-21,54,0
6701.08,CREDIT,,CREDIT IN CASH,1993-03-10,54,0
2152.77,DEBIT,,CASH WITHDRAWAL,1993-04-01,54,0
11560.14,CREDIT,,CREDIT IN CASH,1993-06-01,54,0
74.47,CREDIT,INTEREST CREDITED,,1993-08-31,54,0
8092.72,CREDIT,,CREDIT IN CASH,1993-09-06,54,0
4892.45,DEBIT,,CASH WITHDRAWAL,1993-09-10,54,0
12240.32,CREDIT,,CREDIT IN CASH,1993-09-25,54,0
97.59,CREDIT,INTEREST CREDITED,,1993-09-30,54,0
9417.96,CREDIT,,CREDIT IN CASH,1993-10-07,54,0
5695.82,DEBIT,,CASH WITHDRAWAL,1993-10-24,54,0
141.27,CREDIT,INTEREST CREDITED,,1993-10-31,54,0
14040.14,CREDIT,,CREDIT IN CASH,1993-11-06,54,0
5196.85,DEBIT,,CASH WITHDRAWAL,1993-11-10,54,0
6286.82,DEBIT,,CASH WITHDRAWAL,1993-11-17,54,0
3501.42,DEBIT,,CASH WITHDRAWAL,1993-11-20,54,0
14795.14,CREDIT,,CREDIT IN CASH,1993-11-23,54,0
177.74,CREDIT,INTEREST CREDITED,,1993-11-30,54,0
39.1,DEBIT,PAYMENT ON STATEMENT,CASH WITHDRAWAL,1993-12-31,54,0
152.96,CREDIT,INTEREST CREDITED,,1993-12-31,54,0
15411.75,CREDIT,,CREDIT IN CASH,1994-01-07,54,0
6153.74,DEBIT,,CASH WITHDRAWAL,1994-01-22,54,0
5874.38,DEBIT,,CASH WITHDRAWAL,1994-01-25,54,0
5191.72,DEBIT,,CASH WITHDRAWAL,1994-01-25,54,0
20.47,DEBIT,PAYMENT ON STATEMENT,CASH WITHDRAWAL,1994-01-31,54,0
153.13,CREDIT,INTEREST CREDITED,,1994-01-31,54,0
12990.54,CREDIT,,CREDIT IN CASH,1994-02-07,54,0
7600.98,DEBIT,,CASH WITHDRAWAL,1994-02-21,54,0
26.35,DEBIT,PAYMENT ON STATEMENT,CASH WITHDRAWAL,1994-02-28,54,0
157.32,CREDIT,INTEREST CREDITED,,1994-02-28,54,0
11621.52,CREDIT,,CREDIT IN CASH,1994-03-07,54,0
13390.54,CREDIT,,CREDIT IN CASH,1994-03-10,54,0
6508.66,DEBIT,,CASH WITHDRAWAL,1994-03-21,54,0
4487.9,DEBIT,,CASH WITHDRAWAL,1994-03-22,54,0
8200.34,CREDIT,,CREDIT IN CASH,1994-03-26,54,0
19.5,DEBIT,PAYMENT ON STATEMENT,CASH WITHDRAWAL,1994-03-31,54,0
148.59,CREDIT,INTEREST CREDITED,,1994-03-31,54,0
13394.56,CREDIT,,CREDIT IN CASH,1994-04-06,54,0
10599.76,CREDIT,,CREDIT IN CASH,1994-04-21,54,0
142.49,CREDIT,INTEREST CREDITED,,1994-04-30,54,0
204.0,CREDIT,INTEREST CREDITED,,1994-04-30,54,0
9050.54,CREDIT,,CREDIT IN CASH,1994-05-05,54,0
6132.82,DEBIT,,CASH WITHDRAWAL,1994-05-19,54,0
4859.89,DEBIT,,CASH WITHDRAWAL,1994-05-22,54,0
4174.03,DEBIT,,CASH WITHDRAWAL,1994-05-24,54,0
18.82,DEBIT,PAYMENT ON STATEMENT,CASH WITHDRAWAL,1994-05-31,54,0
186.52,CREDIT,INTEREST CREDITED,,1994-05-31,54,0
4196.1,DEBIT,,CASH WITHDRAWAL,1994-06-05,54,0
16821.84,CREDIT,,CREDIT IN CASH,1994-06-06,54,0
5710.93,DEBIT,,CASH WITHDRAWAL,1994-06-18,54,0
153.45,CREDIT,INTEREST CREDITED,,1994-06-30,54,0
172.73,CREDIT,INTEREST CREDITED,,1994-06-30,54,0
10103.03,CREDIT,,CREDIT IN CASH,1994-07-05,54,0
6625.24,DEBIT,,CASH WITHDRAWAL,1994-07-10,54,0
10625.81,CREDIT,,CREDIT IN CASH,1994-07-14,54,0
16218.94,CREDIT,,CREDIT IN CASH,1994-07-18,54,0
5243.9,DEBIT,,CASH WITHDRAWAL,1994-07-20,54,0
19.61,DEBIT,PAYMENT ON STATEMENT,CASH WITHDRAWAL,1994-07-31,54,0
127.94,CREDIT,INTEREST CREDITED,,1994-07-31,54,0
6796.83,CREDIT,,CREDIT IN CASH,1994-08-06,54,0
7107.46,DEBIT,,CASH WITHDRAWAL,1994-08-18,54,0
4789.27,DEBIT,,CASH WITHDRAWAL,1994-08-22,54,0
8068.72,CREDIT,,CREDIT IN CASH,1994-08-25,54,0
8203.06,CREDIT,,CREDIT IN CASH,1994-08-28,54,0
18.21,DEBIT,PAYMENT ON STATEMENT,CASH WITHDRAWAL,1994-08-31,54,0
128.09,CREDIT,INTEREST CREDITED,,1994-08-31,54,0
9079.23,CREDIT,,CREDIT IN CASH,1994-09-05,54,0
10958.98,CREDIT,,CREDIT IN CASH,1994-09-21,54,0
19.24,DEBIT,PAYMENT ON STATEMENT,CASH WITHDRAWAL,1994-09-30,54,0
129.66,CREDIT,INTEREST CREDITED,,1994-09-30,54,0
5198.32,DEBIT,,CASH WITHDRAWAL,1994-10-05,54,0
12092.99,CREDIT,,CREDIT IN CASH,1994-10-09,54,0
5045.97,DEBIT,,CASH WITHDRAWAL,1994-10-20,54,0
7840.94,CREDIT,,CREDIT IN CASH,1994-10-22,54,0
5132.05,DEBIT,,CASH WITHDRAWAL,1994-10-23,54,0
18.31,DEBIT,PAYMENT ON STATEMENT,CASH WITHDRAWAL,1994-10-31,54,0
137.84,CREDIT,INTEREST CREDITED,,1994-10-31,54,0
10441.14,CREDIT,,CREDIT IN CASH,1994-11-06,54,0
5519.11,DEBIT,,CASH WITHDRAWAL,1994-11-08,54,0
4714.51,DEBIT,,CASH WITHDRAWAL,1994-11-15,54,0
286.99,DEBIT,INSURANCE PAYMENT,REMITTANCE TO ANOTHER BANK,1993-03-23,24,1
4584.16,CREDIT,,CREDIT IN CASH,1993-03-23,24,1
4981.96,CREDIT,,CREDIT IN CASH,1993-03-29,24,1
114.76,CREDIT,INTEREST CREDITED,,1993-03-31,24,1
15.62,DEBIT,PAYMENT ON STATEMENT,CASH WITHDRAWAL,1993-03-31,24,1
4184.37,DEBIT,HOUSEHOLD,REMITTANCE TO ANOTHER BANK,1993-04-07,24,1
6560.37,CREDIT,,CREDIT IN CASH,1993-04-09,24,1
2546.58,DEBIT,HOUSEHOLD,REMITTANCE TO ANOTHER BANK,1993-04-13,24,1
97.87,CREDIT,INTEREST CREDITED,,1993-04-30,24,1
17.1,DEBIT,PAYMENT ON STATEMENT,CASH WITHDRAWAL,1993-04-30,24,1
382.56,DEBIT,INSURANCE PAYMENT,REMITTANCE TO ANOTHER BANK,1993-05-06,24,1
2072.03,DEBIT,HOUSEHOLD,REMITTANCE TO ANOTHER BANK,1993-05-09,24,1
7108.49,CREDIT,,CREDIT IN CASH,1993-05-13,24,1
3086.36,DEBIT,,CASH WITHDRAWAL,1993-05-22,24,1
131.93,CREDIT,INTEREST CREDITED,,1993-05-31,24,1
13.51,DEBIT,PAYMENT ON STATEMENT,CASH WITHDRAWAL,1993-05-31,24,1
153.86,DEBIT,INSURANCE PAYMENT,REMITTANCE TO ANOTHER BANK,1993-06-05,24,1
2805.07,DEBIT,HOUSEHOLD,REMITTANCE TO ANOTHER BANK,1993-06-08,24,1
298.71,DEBIT,INSURANCE PAYMENT,REMITTANCE TO ANOTHER BANK,1993-06-10,24,1
6426.9,CREDIT,,CREDIT IN CASH,1993-06-12,24,1
1843.56,DEBIT,,CASH WITHDRAWAL,1993-06-17,24,1
105.37,CREDIT,INTEREST CREDITED,,1993-06-30,24,1
13.07,DEBIT,PAYMENT ON STATEMENT,CASH WITHDRAWAL,1993-06-30,24,1
153.46,DEBIT,INSURANCE PAYMENT,REMITTANCE TO ANOTHER BANK,1993-07-05,24,1
492.73,DEBIT,INSURANCE PAYMENT,REMITTANCE TO ANOTHER BANK,1993-07-06,24,1
2210.39,DEBIT,,CASH WITHDRAWAL,1993-07-08,24,1
2426.72,DEBIT,HOUSEHOLD,REMITTANCE TO ANOTHER BANK,1993-07-09,24,1
